Group No.,Material Classification,Metallurgy Code,Shop Code,Parent Code,Weight Code,Material,Group#,Sched,% Adder *,Size,Value,,1
5,Copper,638,608,09,ST,CB,5,ST,0.8,36,2.099,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,42,2.449,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,48,2.449,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,54,2.449,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,60,2.449,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,0.5,0.2,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,0.75,0.2,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,1,0.2,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,1.5,0.2,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,2,0.2,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,2.5,0.2,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,3,0.23,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,4,0.25,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,6,0.3,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,8,0.5,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,10,0.75,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,12,0.8,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,14,1,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,16,1.1,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,18,1.15,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,20,1.25,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,24,1.4,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,30,1.7496,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,36,2.099,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,42,2.449,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,48,2.449,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,54,2.449,,
6,Brass,639,609,09,ST,CB,5,ST,0.8,60,2.449,,
7,Grooved,640,610,08,ST,VI,10,ST,0,0.5,0,,
7,Grooved,640,610,08,ST,VI,10,ST,0,0.75,0,,
7,Grooved,640,610,08,ST,VI,10,ST,0,1,0,,
7,Grooved,640,610,08,ST,VI,10,ST,0,1.5,0,,
7,Grooved,640,610,08,ST,VI,10,ST,0,2,0,,
